FaixaInicial	FaixaFinal	Quantidade
185760254	185770253	10000
185770254	185780253	10000
185780254	185790253	10000
185790254	185800253	10000
185800254	185810253	10000
185810254	185820253	10000
185820254	185830253	10000
185830254	185840253	10000
185840254	185850253	10000
185850254	185860253	10000
185860254	185870253	10000
185870254	185880253	10000
185880254	185890253	10000
185890254	185900253	10000
185900254	185910253	10000
185910254	185920253	10000
185920254	185930253	10000
185930254	185940253	10000
185940254	185950253	10000
185950254	185960253	10000
185960254	185970253	10000
185970254	185980253	10000
185980254	185990253	10000
185990254	186000253	10000
186000254	186010253	10000
186010254	186020253	10000
186020254	186030253	10000
186030254	186040253	10000
186040254	186050253	10000
186050254	186060253	10000
186060254	186070253	10000
186070254	186080253	10000
186080254	186090253	10000
186090254	186100253	10000
186100254	186110253	10000
186110254	186120253	10000
186120254	186130253	10000
186130254	186140253	10000
186140254	186150253	10000
186150254	186160253	10000
186160254	186170253	10000
186170254	186180253	10000
186180254	186190253	10000
186190254	186200253	10000
186200254	186210253	10000
186210254	186220253	10000
186220254	186230253	10000
186230254	186240253	10000
186240254	186250253	10000
186250254	186260253	10000
186260254	186270253	10000
186270254	186280253	10000
186280254	186290253	10000
186290254	186300253	10000
186300254	186310253	10000
186310254	186320253	10000
186320254	186330253	10000
186330254	186340253	10000
186340254	186350253	10000
186350254	186360253	10000
186360254	186370253	10000
186370254	186380253	10000
186380254	186390253	10000
186390254	186400253	10000
186400254	186410253	10000
186410254	186420253	10000
186420254	186430253	10000
186430254	186440253	10000
186440254	186450253	10000
186450254	186460253	10000
186460254	186470253	10000
186470254	186480253	10000
186480254	186490253	10000
186490254	186500253	10000
186500254	186510253	10000
186510254	186520253	10000
186520254	186530253	10000
186530254	186540253	10000
186540254	186550253	10000
186550254	186560253	10000
186560254	186570253	10000
186570254	186580253	10000
186580254	186590253	10000
186590254	186600253	10000
186600254	186610253	10000
186610254	186620253	10000
186620254	186630253	10000
186630254	186640253	10000
186640254	186650253	10000
186650254	186660253	10000
186660254	186670253	10000
186670254	186680253	10000
186680254	186690253	10000
186690254	186700253	10000
186700254	186710253	10000
186710254	186720253	10000
186720254	186730253	10000
186730254	186740253	10000
186740254	186750253	10000
186750254	186760253	10000
186760254	186770253	10000
186770254	186780253	10000
186780254	186790253	10000
186790254	186800253	10000
186800254	186810253	10000
186810254	186820253	10000
186820254	186830253	10000
186830254	186840253	10000
186840254	186850253	10000
186850254	186860253	10000
186860254	186870253	10000
186870254	186880253	10000
186880254	186890253	10000
186890254	186900253	10000
186900254	186910253	10000
186910254	186920253	10000
186920254	186930253	10000
186930254	186940253	10000
186940254	186950253	10000
186950254	186960253	10000
186960254	186970253	10000
186970254	186980253	10000
186980254	186990253	10000
186990254	187000253	10000
187000254	187010253	10000
187010254	187020253	10000
187020254	187030253	10000
187030254	187040253	10000
187040254	187050253	10000
187050254	187060253	10000
187060254	187070253	10000
187070254	187080253	10000
187080254	187090253	10000
187090254	187100253	10000
187100254	187110253	10000
187110254	187120253	10000
187120254	187130253	10000
187130254	187140253	10000
187140254	187150253	10000
187150254	187160253	10000
187160254	187170253	10000
187170254	187180253	10000
187180254	187190253	10000
187190254	187200253	10000
187200254	187210253	10000
187210254	187220253	10000
187220254	187230253	10000
187230254	187240253	10000
187240254	187250253	10000
187250254	187260253	10000
187260254	187270253	10000
187270254	187280253	10000
187280254	187290253	10000
187290254	187300253	10000
187300254	187310253	10000
187310254	187320253	10000
187320254	187330253	10000
187330254	187340253	10000
187340254	187350253	10000
187350254	187360253	10000
187360254	187370253	10000
187370254	187380253	10000
187380254	187390253	10000
187390254	187400253	10000
187400254	187410253	10000
187410254	187420253	10000
187420254	187430253	10000
187430254	187440253	10000
187440254	187450253	10000
187450254	187460253	10000
187460254	187470253	10000
187470254	187480253	10000
187480254	187490253	10000
187490254	187500253	10000
187500254	187510253	10000
187510254	187520253	10000
187520254	187530253	10000
187530254	187540253	10000
187540254	187550253	10000
187550254	187560253	10000
187560254	187570253	10000
187570254	187580253	10000
187580254	187590253	10000
187590254	187600253	10000
187600254	187610253	10000
187610254	187620253	10000
187620254	187630253	10000
187630254	187640253	10000
187640254	187650253	10000
187650254	187660253	10000
187660254	187670253	10000
187670254	187680253	10000
187680254	187690253	10000
187690254	187700253	10000
187700254	187710253	10000
187710254	187720253	10000
187720254	187730253	10000
187730254	187740253	10000
187740254	187750253	10000
187750254	187760253	10000
187760254	187770253	10000
187770254	187780253	10000
187780254	187790253	10000
187790254	187800253	10000
187800254	187810253	10000
187810254	187820253	10000
187820254	187830253	10000
187830254	187840253	10000
187840254	187850253	10000
187850254	187860253	10000
187860254	187870253	10000
187870254	187880253	10000
187880254	187890253	10000
187890254	187900253	10000
